time_s,vehicles_in_network,mean_speed_km_h,total_waiting_time_s,total_time_loss_s,stopped_vehicles,reward,action_J1,action_J2,action_J3
395.0,18,18.989912972817756,43.0,269.3892780465703,6,-16.46,1,0,0
400.0,25,21.89476251025733,19.0,296.7907950063439,3,-11.379999999999999,1,1,0
405.0,23,21.557305114183773,8.0,247.4070990715389,5,-14.760000000000002,1,0,0
410.0,24,7.278270941726144,30.0,235.6790127726193,8,-21.400000000000002,0,1,0
415.0,23,11.923596247024028,65.0,299.2540409663264,11,-27.900000000000002,0,0,1
420.0,18,8.26690579359678,56.0,330.5440022755297,7,-18.720000000000002,0,0,0
425.0,25,20.99981706305634,27.0,364.72532289903165,4,-13.54,1,0,0
430.0,25,20.649205533808217,16.0,352.5200560198644,6,-17.32,1,1,0
435.0,28,20.531320219948405,34.0,291.559434874846,6,-18.28,1,0,0
440.0,24,11.477640243051438,53.0,308.96702061291217,11,-27.86,0,1,0
445.0,26,3.8947700340265485,80.0,338.7880055630267,19,-44.800000000000004,0,0,1
450.0,24,9.912443727978879,54.0,370.7409325225273,6,-17.880000000000003,0,0,0
455.0,22,21.3092608714362,23.0,430.0333114714655,4,-12.860000000000001,1,0,0
460.0,25,23.871444955340817,18.0,281.1633734031252,2,-9.36,1,1,0
465.0,23,22.198271011204202,11.0,234.71934966101304,7,-18.82,1,0,0
470.0,23,4.253190852119266,40.0,218.08752536950192,9,-23.400000000000002,0,1,0
475.0,23,11.776955638329785,79.0,285.2639956732208,11,-28.18,0,0,1
480.0,18,7.563262412246514,47.0,325.23387171491817,7,-18.54,0,0,0
485.0,25,22.428329556329736,27.0,335.94410390414504,5,-15.54,1,0,0
490.0,23,19.790093055655817,13.0,288.9641507420702,6,-16.86,1,1,0
495.0,25,21.379291660979124,23.0,216.81803801425883,5,-15.46,1,0,0
500.0,22,11.207099421032725,31.0,238.98620741479675,9,-23.020000000000003,0,1,0
505.0,26,6.116700079410518,67.0,298.1546860086202,19,-44.540000000000006,0,0,1
510.0,24,11.798920336602762,58.0,331.9554145863674,8,-21.96,0,0,0
515.0,19,17.357010538536695,35.0,286.58649646475016,6,-16.5,1,0,0
520.0,25,23.521566019250205,19.0,315.1147893447771,2,-9.379999999999999,1,1,0
525.0,22,20.558316406188375,10.0,245.8578962165264,7,-18.6,1,0,0
530.0,23,6.25329076352709,36.0,246.6940944974994,9,-23.32,0,1,0
535.0,23,11.466982486869783,73.0,315.92933490002156,12,-30.060000000000002,0,0,1
540.0,18,8.128121121269553,45.0,347.0330322899817,7,-18.5,0,0,0
545.0,25,22.902741988870567,23.0,373.28335122808926,4,-13.46,1,0,0
