time_s,vehicles_in_network,mean_speed_km_h,total_waiting_time_s,total_time_loss_s,stopped_vehicles
1.0,8,0.0,0.0,0.0,8
2.0,8,6.856683418516769,0.0,6.889330684500616,0
3.0,8,13.351194327652923,0.0,12.720969498752796,0
4.0,8,21.20763059471268,0.0,17.276532250658846,0
5.0,9,22.14344240223523,0.0,21.210835993059888,1
6.0,9,15.30806448066533,0.0,27.39705082729575,0
7.0,10,10.757029887548642,0.0,34.22120118024332,1
8.0,10,12.69268970974962,4.0,41.62641626188153,4
9.0,11,12.431719789401773,10.0,48.81138404819035,7
10.0,11,14.36567751691492,16.0,56.53957941215395,6
11.0,11,16.59492761893546,22.0,63.75211848842713,6
12.0,12,16.08227234098145,28.0,70.73655146074138,7
13.0,19,11.056873878623394,34.0,78.38782689374395,13
14.0,19,14.655863559352454,40.0,91.6481099696259,6
15.0,19,18.041089924994978,46.0,103.6011087680661,6
16.0,18,19.32112641529784,52.0,111.28207877360659,6
17.0,20,18.601620105682148,58.0,121.60325129507099,8
18.0,19,14.3635674561906,64.0,131.58519287168681,6
19.0,19,13.507811099707908,72.0,145.436481940988,8
20.0,19,14.753970328564213,81.0,158.85101325984985,9
21.0,19,13.20317148076892,93.0,168.83926222052852,13
22.0,20,13.357911089545173,105.0,182.63517946661122,13
23.0,20,15.100120004919836,117.0,196.75926667945035,12
24.0,20,16.462916318703176,129.0,210.35484343776153,12
25.0,25,9.74599266272931,141.0,215.95792833277295,19
26.0,25,12.453810540243532,153.0,234.8981310625713,12
27.0,26,14.344030993193881,165.0,252.52414378120605,13
28.0,24,14.23249638890252,177.0,262.3719862499156,12
29.0,25,12.006085753287982,189.0,280.4463619765868,13
30.0,25,11.14389393353713,202.0,300.02098924752784,13
31.0,24,9.983429810548412,216.0,315.7304893489736,14
32.0,25,9.874632787624632,233.0,334.8714230646398,18
33.0,25,8.785099146083006,250.0,350.7704122795302,18
34.0,25,10.03854965168859,268.0,370.9195361284387,18
35.0,25,10.79947063494888,286.0,390.7244235463728,18
36.0,25,11.728597198263593,304.0,410.1054994826002,18
37.0,32,8.26992522322575,322.0,425.4947944035048,26
38.0,31,9.2962573602086,340.0,447.4909211589048,18
39.0,31,11.517691350850667,358.0,471.7045217972701,18
40.0,31,12.794793148342595,376.0,495.17066725744127,18
41.0,31,9.41112459539471,394.0,516.0850141171022,19
42.0,30,5.3060098686681165,413.0,540.2207662930917,19
43.0,31,3.6586877011002445,438.0,568.1434695445698,26
44.0,30,4.60690491107182,94.0,591.4357319474522,13
45.0,31,9.19534779231669,5.0,615.645613438841,4
46.0,31,14.429125423374076,9.0,637.4915572294818,4
47.0,31,19.980422413846174,13.0,655.7783438360021,4
48.0,32,24.277950530175715,17.0,670.8164374624721,5
49.0,39,23.650365035116067,22.0,683.8577692324909,12
50.0,28,20.925569189245266,28.0,283.9639901560004,6
51.0,27,23.445436900566307,35.0,266.1513008899531,7
52.0,18,16.35621694045068,42.0,133.28909829718663,7
53.0,17,10.771906371947262,49.0,103.81085353923781,9
54.0,17,13.771847219282519,56.0,115.83416661643571,7
55.0,17,15.727238753562453,64.0,127.17673564660815,8
56.0,17,17.32890451022274,73.0,137.99812150862383,9
57.0,18,15.950331783389876,82.0,148.95368023003482,10
58.0,13,0.8019782067084527,91.0,142.47629325422062,10
59.0,13,1.3639720499892773,101.0,155.11113981869127,10
60.0,13,2.374498635580263,112.0,167.46547553237266,11
61.0,20,0.8808850386268811,123.0,180.08018710950958,18
62.0,20,2.9346802921661066,134.0,198.94923657794754,11
63.0,21,4.48985261490065,146.0,217.1249715507535,13
64.0,21,6.739633986410368,158.0,235.38160472646632,12
65.0,21,9.435103018694939,172.0,252.5229994706812,14
66.0,21,11.284850022608389,186.0,268.9106284278281,14
67.0,21,12.630934757977062,200.0,284.77079507291234,14
68.0,22,13.482470705449716,214.0,300.02440728186224,15
69.0,19,7.67352467793723,228.0,307.44437095114273,14
70.0,16,0.21176568512834412,243.0,313.6978256167874,15
71.0,16,0.012704584046053622,259.0,329.6934009541233,16
72.0,16,2.6618854036824886,115.0,344.8819903591816,10
73.0,22,4.778064821652776,50.0,358.87069307655037,12
74.0,22,10.521215958321013,14.0,376.36846674533115,2
75.0,22,17.06951319883274,0.0,391.0166357064427,0
76.0,22,23.634976564443264,0.0,402.8175909451733,0
77.0,24,25.79223129794372,0.0,412.67329912143975,2
78.0,24,27.277449193962507,0.0,423.87265719106097,0
79.0,23,28.99746627530493,1.0,399.54931039594817,1
80.0,25,29.216697101966034,5.0,408.2580538204478,6
81.0,24,30.968125214970296,10.0,380.1323334197763,5
82.0,24,32.40808260357771,16.0,388.70545711182496,6
83.0,25,31.7949777373993,22.0,396.9224257718094,7
84.0,26,31.9319253783873,28.0,405.3932343399611,7
85.0,28,23.528488709836953,34.0,281.1251850432523,12
86.0,28,23.44246313295627,40.0,268.2161567924701,7
87.0,25,23.17268099774533,46.0,204.52350341930975,6
88.0,24,24.51738654542015,52.0,192.58075642309674,6
89.0,25,23.701086046856144,58.0,184.05878112220893,8
90.0,22,18.674638397581887,64.0,148.27941914779964,6
91.0,22,17.735508387378307,70.0,162.34930930312643,6
92.0,22,16.521205989588594,78.0,166.10715386324256,9
93.0,21,16.027976119750356,90.0,176.28953426380244,12
94.0,21,15.217565739228041,102.0,186.75553844129368,13
95.0,22,16.04410093262737,114.0,200.7777406225906,13
96.0,21,15.917493584672513,126.0,212.31885219288415,12
97.0,26,11.839615547455324,138.0,222.87735917007655,18
98.0,26,14.411284110906138,150.0,241.56387567557337,12
99.0,26,12.480132812530597,162.0,251.54688101166565,14
100.0,26,14.895766016641124,174.0,269.8530778946724,12
101.0,26,13.550255681965716,186.0,288.93527405913227,12
102.0,26,11.029153196804188,198.0,304.3321247460485,13
103.0,26,11.75976009980435,212.0,324.38294845685243,14
104.0,27,12.15902506557274,229.0,343.98431493489426,18
105.0,27,11.291011243383144,247.0,360.73274131861854,19
106.0,26,11.483816773368574,265.0,376.84367654698667,18
107.0,26,12.259749922206096,283.0,396.66235597696965,18
108.0,26,11.314987671956459,301.0,411.9769806192133,19
109.0,33,9.747382843617926,319.0,431.7249497075182,25
110.0,32,10.349867029214122,337.0,453.602638763068,18
111.0,32,10.874815778295055,355.0,473.3641552203966,19
112.0,32,12.94591366903869,373.0,497.21143650467855,18
113.0,33,10.77771768135842,391.0,522.2001784731482,19
114.0,32,6.480264198868602,411.0,546.4985461488968,20
115.0,32,5.983583352561859,78.0,570.2262343661993,10
116.0,32,9.295761586300417,2.0,596.209218413967,2
117.0,33,13.05053795231087,5.0,619.4760752487521,4
118.0,33,17.887158431333766,8.0,640.5645508619376,3
119.0,33,22.76613771490718,12.0,658.4156426702085,4
120.0,34,26.805589949175623,19.0,673.025981314845,8
121.0,31,18.587349029471895,26.0,319.8017786434739,14
122.0,29,20.109755194704718,33.0,263.17561356975267,7
123.0,19,11.026333056980475,41.0,145.52641601562692,8
124.0,17,9.941006355795396,50.0,117.8072474948451,9
125.0,19,9.707043385038546,59.0,131.173782645238,11
126.0,19,12.670802462285252,69.0,145.4409307642133,10
127.0,19,15.258413067600102,80.0,158.7459845656992,11
128.0,19,16.75349836668422,91.0,171.50427185748316,11
129.0,17,8.99577485491989,102.0,175.40902765103868,12
130.0,15,0.8124259827594412,114.0,179.77954828332537,13
131.0,15,0.6528432178376664,126.0,194.5925521945456,12
132.0,15,1.0345142902062945,139.0,209.29950546870492,13
133.0,21,0.6580966620610262,153.0,224.0388872731226,20
134.0,21,1.9297247543458944,167.0,244.23046619322122,14
135.0,22,3.78092978795045,181.0,263.56354372446947,15
136.0,22,6.018292858419779,196.0,282.89812971618824,15
137.0,22,8.37397887033161,211.0,301.18538443495146,15
138.0,22,10.247808286719431,226.0,318.6482837683279,15
139.0,22,11.493132025987714,242.0,335.61073579338773,16
140.0,23,12.126523221383142,258.0,352.0774412230316,17
141.0,22,11.143954112408181,274.0,366.25804862519897,16
142.0,17,0.05409065087083789,290.0,367.05878888076575,16
143.0,17,3.427996827134626,130.0,382.8481618841103,10
144.0,17,7.796915393374453,62.0,397.12808066409815,6
145.0,23,9.681053317700993,16.0,409.6015762382196,8
146.0,23,15.650466098514048,0.0,425.3676320583385,0
147.0,24,21.67182845133482,0.0,437.9942996635192,1
148.0,25,27.342298672497844,0.0,448.45207592796476,1
149.0,24,31.03100479438953,0.0,424.74585245800205,0
150.0,24,29.149769000596656,0.0,400.16331981351385,1
151.0,25,29.01170355133282,0.0,409.9798064113751,1
152.0,24,30.389849719454713,2.0,383.9843992561573,2
153.0,25,30.085437242878168,7.0,393.31330075076784,6
154.0,25,31.701736299964043,13.0,402.8674852080091,6
155.0,25,32.15143966487101,19.0,412.2121700741205,6
156.0,24,28.656340755331446,25.0,319.8240222484837,8
157.0,30,24.425227138376478,31.0,329.7768969066596,12
158.0,27,24.720994894254595,37.0,261.36760402271165,6
159.0,25,23.87784838804079,43.0,196.75158695029162,7
160.0,24,26.405573691321496,49.0,190.91056305281722,6
161.0,22,22.230447115620596,55.0,150.50487379334203,7
162.0,21,15.857184584218263,61.0,139.04541728619617,7
163.0,21,16.840574690511524,68.0,153.10747712297484,7
164.0,20,16.30300158021135,78.0,163.0354962997143,10
165.0,20,14.25404518534944,89.0,173.3293263935757,12
166.0,20,12.134772887047752,100.0,183.0851160242947,12
167.0,20,13.547079468449077,112.0,197.5807863363481,12
168.0,20,15.078969250799465,124.0,211.42292630720885,12
169.0,26,10.285552890006654,136.0,221.24186813797107,19
170.0,26,13.274981883380057,148.0,240.19571249114162,12
171.0,27,15.17825335294608,160.0,257.85111569289046,13
172.0,26,13.398380360478004,172.0,267.7989004309422,13
173.0,26,11.266866691125507,184.0,287.72216303060486,12
174.0,26,11.364284528169533,197.0,307.6262101702894,13
175.0,27,11.424735296172726,212.0,327.29421440988654,16
176.0,27,10.01777953574716,230.0,343.52223909240126,19
177.0,27,11.568304313449621,248.0,364.0149790602917,18
178.0,28,11.917559477654668,266.0,384.1002284371855,19
179.0,27,12.294858340748533,284.0,401.097255046869,18
180.0,27,13.209672278453791,302.0,421.0275911211703,18
181.0,34,9.884979405254551,320.0,435.4457061398574,26
182.0,34,12.499142273372625,338.0,461.1102181477945,18
183.0,33,10.514988890462813,356.0,478.3315761491389,19
184.0,33,10.200549711201639,374.0,504.73639705165317,18
185.0,32,5.892773117724224,393.0,528.567960273451,19
186.0,33,5.715085393768492,77.0,556.8150278507196,13
187.0,33,7.966768351019977,9.0,580.1351345243105,5
188.0,33,12.69969745719966,13.0,604.8680321790687,4
189.0,34,17.266670869700288,19.0,626.2972842784357,7
190.0,34,22.41103268312318,26.0,645.279915485651,7
191.0,34,27.217009262930876,33.0,661.036737933063,7
192.0,24,22.759099189520164,40.0,275.7629479082623,8
193.0,29,17.280921526869058,47.0,238.314288988924,14
194.0,19,5.877818927769688,55.0,132.19830581438927,8
195.0,18,6.2292211737999015,64.0,127.5724840997171,9
196.0,18,8.698103753585924,74.0,142.4037889009972,10
197.0,20,8.559928591939995,84.0,156.90196791764836,12
198.0,20,11.035610328832075,96.0,172.3667320504847,12
199.0,20,13.479969397507856,108.0,186.81355418802008,12
200.0,20,14.69961892948397,120.0,200.77327343795835,12
201.0,20,14.926489562373005,133.0,214.66439840656426,13
202.0,15,0.31361671076157976,146.0,209.44782443409017,14
203.0,15,0.5267599157816976,160.0,224.30295539614121,14
204.0,15,0.8849145736468662,174.0,239.0606860385601,14
205.0,21,0.7144357677761658,188.0,253.78685285489263,20
206.0,21,1.8670864747182083,202.0,273.9424749586943,14
207.0,22,3.584564949504562,217.0,293.24848455218194,16
208.0,22,5.736458730968796,232.0,312.54376845902726,15
209.0,22,7.87404990808204,247.0,330.8312820271052,15
210.0,22,9.918388352290469,262.0,348.1538256446263,15
211.0,22,11.349087568459327,277.0,364.79560791328595,15
212.0,23,11.02771155826509,293.0,381.38653645491775,17
213.0,22,10.339347975821727,309.0,395.81268646844353,16
214.0,18,5.212407116127152,136.0,399.06223800188997,9
215.0,17,7.371559100569563,66.0,410.34801737809374,5
216.0,17,12.683512681499538,17.0,423.1071084544105,2
217.0,23,13.845708168059815,0.0,433.86550535791275,6
218.0,24,19.49987450688515,0.0,447.67857045998664,1
219.0,25,25.000467158451734,1.0,459.39653013104754,2
220.0,24,30.1194403719761,0.0,432.59687657683247,0
221.0,24,33.98216945449846,0.0,440.52235510245265,0
222.0,25,32.160305731626075,0.0,448.6937432825005,1
223.0,25,30.106570368495852,1.0,420.42573469295695,2
224.0,24,30.92547950983231,4.0,394.79961040004935,3
225.0,25,30.43387786637932,10.0,403.76330877685234,7
226.0,24,31.80474302767884,16.0,376.656588812496,6
227.0,22,31.002275617455922,22.0,324.4138407530972,6
228.0,22,27.73483305457944,28.0,265.5750157042235,8
229.0,27,21.725573233275398,34.0,243.7662699856106,12
230.0,24,21.60070479686191,40.0,182.75299777981945,6
231.0,24,22.68463588500769,46.0,169.55796081658053,7
232.0,22,23.53283559991326,52.0,151.51538845454195,6
233.0,22,22.583617232305492,58.0,139.35772227626074,7
234.0,22,18.055508684275576,64.0,143.22343775961232,7
235.0,22,17.94992878574517,70.0,157.5323573971548,6
236.0,20,15.919167992196346,77.0,162.49493302337524,7
237.0,21,16.326941317648256,88.0,175.94126191072564,12
238.0,20,13.173438433766249,100.0,181.84473271137807,13
239.0,20,14.386734538795288,112.0,196.2050551103549,12
240.0,21,14.920185716524312,124.0,210.04644798225465,13
241.0,27,12.802968655524484,136.0,224.26047919225192,18
