time_s,vehicles_in_network,mean_speed_km_h,total_waiting_time_s,total_time_loss_s,stopped_vehicles
242.0,33,22.02558621838846,22.0,581.9377020746233,4
243.0,31,19.38270769102922,25.0,527.7235827609692,4
244.0,29,17.346474898425463,29.0,455.5677578531501,4
245.0,27,14.426409077345149,35.0,377.6433098425403,7
246.0,25,10.385473944254006,44.0,329.52705287357287,9
247.0,24,7.550561395042329,55.0,326.92894025372806,11
248.0,26,5.728388385148479,71.0,348.1237242703891,18
249.0,24,4.283920722442648,27.0,363.6342536000499,9
250.0,25,6.864153755539129,21.0,384.2439977993806,8
251.0,25,11.201603519156572,25.0,403.69020027617205,7
252.0,25,15.027251931856311,30.0,421.23178465534374,7
253.0,33,14.35994237235252,25.0,436.852456635793,13
254.0,33,17.092766856470707,31.0,458.8072075248462,6
255.0,29,15.109099524888668,39.0,421.18040895364885,8
256.0,29,14.612412365525929,47.0,441.8413053723487,8
257.0,30,11.800506349876331,55.0,463.8485548202968,9
258.0,31,9.976818611402908,66.0,487.7155085227939,12
259.0,29,7.354379401656527,80.0,487.20091396368775,14
260.0,29,7.427460076782929,98.0,511.90471560515795,18
261.0,27,3.825680979880032,120.0,530.9962229935607,22
262.0,25,1.3361008887962937,103.0,548.7022099643899,18
263.0,25,3.038391796365206,100.0,572.2222437701317,16
264.0,26,5.903850550623919,101.0,594.2121922624877,13
265.0,32,7.299817239082474,110.0,615.641707359264,17
266.0,32,12.440398882668552,66.0,639.7618678216201,7
267.0,32,17.776860982821916,29.0,660.4428169805308,3
268.0,31,21.439922725076894,8.0,637.0176658156845,1
269.0,31,24.207131180760943,0.0,606.466213022795,1
270.0,30,23.292519197757976,1.0,556.4729373756451,2
271.0,29,22.85300951869269,4.0,532.3904041410099,3
272.0,26,20.14144824585774,11.0,454.639375544895,7
273.0,25,17.57821604355167,19.0,398.0485107606161,9
274.0,22,9.487130796751643,28.0,351.68378168844174,10
275.0,21,4.722790049407112,40.0,335.5042441728089,12
276.0,21,3.801467701136698,43.0,354.75231483515876,11
277.0,28,3.812764262227008,34.0,373.3335807992725,15
278.0,28,8.54473052666204,28.0,396.19367720974986,6
279.0,29,12.202015280573365,6.0,416.87384305515644,3
280.0,30,16.042595213393138,8.0,436.0953307349272,3
281.0,31,19.442923031977536,11.0,453.87409761560775,4
282.0,30,20.988019063043932,15.0,459.5363659622787,4
283.0,29,21.429670571403847,19.0,466.0328052171999,4
284.0,31,18.249488961777597,25.0,483.6209644598033,8
285.0,31,12.150499869574285,34.0,492.4192668895615,10
286.0,27,4.8851709715969465,46.0,504.21566363168745,12
287.0,26,2.1526850205627106,63.0,512.8560267976814,17
288.0,26,1.1025235407631213,82.0,538.285413636999,19
289.0,33,1.3116841263587549,71.0,563.3588894837504,24
290.0,33,4.932563943371676,67.0,592.9586778169836,15
291.0,33,8.84766285916487,77.0,619.8823237873627,14
292.0,33,13.395686091430424,50.0,643.7214036810033,10
293.0,33,18.00202170846282,30.0,664.5351743792883,6
294.0,34,19.693891633526107,14.0,684.0638884695852,3
295.0,32,21.101387521740936,10.0,609.1300365481644,1
296.0,30,22.01005280602827,11.0,598.8631727373837,1
297.0,29,20.992734282308867,17.0,538.6018052534937,7
298.0,25,17.070275576541313,24.0,456.8412259890739,7
299.0,23,13.564843089481183,32.0,404.6824128559277,8
300.0,24,9.789154787428949,43.0,386.24181635414465,13
301.0,29,6.020763540303834,56.0,365.3699787358443,19
302.0,27,4.123031069515858,59.0,331.32220534282817,13
303.0,28,7.0570210458023785,39.0,354.361054570122,11
304.0,29,10.442326122422088,32.0,376.2195255078012,8
305.0,30,14.034828139187137,11.0,396.6139872976141,4
306.0,30,17.875666165250177,14.0,415.6365630763626,3
307.0,31,20.792676676078965,19.0,432.4552003912167,6
308.0,29,20.770115469287617,26.0,422.5135519500306,7
309.0,30,19.532320625850048,33.0,439.6878753376252,8
310.0,27,11.751016595229615,41.0,445.3058145633866,9
311.0,26,6.755530701149461,52.0,452.3548711317726,11
312.0,25,2.315790043626315,66.0,459.0530021724454,14
313.0,31,1.1145258457999423,84.0,483.3913743524429,24
314.0,31,1.8366401480846983,104.0,513.2929441542312,21
315.0,32,3.533367825209279,97.0,542.1061054081115,21
316.0,32,6.99063569860816,86.0,569.7492509196502,15
317.0,32,10.014897057272721,95.0,595.549097850627,13
318.0,32,12.252979242565216,62.0,619.9262662617639,9
319.0,32,15.797347942718476,37.0,642.0647093709202,5
320.0,33,18.81812157248889,19.0,661.8614269055566,6
321.0,33,22.335894082535184,17.0,680.2677242611496,5
322.0,28,20.112788506697864,22.0,581.2038991416869,5
323.0,28,19.908151313458994,28.0,581.2295962415523,7
324.0,25,16.97515621725448,35.0,488.40931809410915,7
325.0,29,8.551469929272711,43.0,400.82593869491626,15
326.0,28,7.863827252333363,53.0,390.1279222112239,10
327.0,28,7.7240403539551155,66.0,382.8519620699176,14
328.0,27,8.706029236781399,62.0,378.73504850205876,11
329.0,27,10.639338062777815,42.0,400.1221940406924,10
330.0,29,9.489999411753859,35.0,421.8042912960428,8
331.0,30,11.056564244659047,33.0,444.3966707223586,5
332.0,30,15.041183731414502,12.0,465.64191585890524,3
333.0,29,18.45675931173057,17.0,481.0963773822025,5
334.0,27,17.19537194621159,24.0,463.15666772239865,8
335.0,28,15.371273730593243,31.0,481.75708154489735,8
336.0,29,12.866996678541582,40.0,502.46164552078693,10
337.0,35,9.59108367479249,51.0,524.8727744243002,17
338.0,32,5.899520010710342,65.0,518.4656487199161,14
339.0,31,5.087154200114472,82.0,525.5767979208127,17
340.0,31,5.910039133886013,103.0,552.6621667812706,21
341.0,32,5.44139945278121,93.0,580.0702485318106,19
342.0,32,6.610963008973756,80.0,607.7541709344698,13
343.0,32,8.449745759247055,90.0,634.2703533823848,13
344.0,32,11.607120911358138,102.0,658.7015556807895,13
345.0,31,13.796980284949637,66.0,677.525685743117,11
346.0,31,16.385409351960867,39.0,694.0024634090246,8
347.0,30,18.373419683851008,19.0,657.6203075132246,4
348.0,28,19.449183817152573,13.0,609.2660037505528,3
349.0,32,16.70120644625669,16.0,582.0096371559423,9
350.0,32,18.789791014187898,19.0,560.4989776230501,4
351.0,31,18.45670685009346,24.0,494.71417494472325,6
